"","V1","V2","V3","V4","V5"
"Start.Fish.Density","Start.Av..Wt.","End.Fish.Density","Model.End.Av..Wt..Act..Feed","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed"
"End.Fish.Density","Start.Fish.Density","Model.End.Av..Wt..Sugg..Feed","End.Av.Wt.","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Act..Feed"
"Start.Av..Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Before.Sampl.","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed","Opening.Biomass"
"End.Av.Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Start.Av..Wt.","Closing.Biomass"
"Model.End.Av..Wt..Act..Feed","Model.End.Av..Wt..Sugg..Feed","Av..Wt..Before.Sampl.","End.Av.Wt.","Start.Av..Wt.","Opening.Biomass"
"Av..Wt..Deviation....","Biomass.Produced","Fastings.No","End.Av.Wt.","End.Fish.Density","Av..Wt..Before.Sampl."
"Av..Wt..Before.Sampl.","Model.End.Av..Wt..Act..Feed","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed","Start.Av..Wt.","Closing.Biomass"
"Model.End.Av..Wt..Sugg..Feed","Model.End.Av..Wt..Act..Feed","Av..Wt..Before.Sampl.","End.Av.Wt.","Start.Av..Wt.","Closing.Biomass"
"Proteins_Avg","Digestible_Energy","Lipids_Avg","Start.Fish.Density","Sampling..No.","End.Fish.Density"
"Lipids_Avg","Digestible_Energy","Proteins_Avg","Start.Fish.Density","End.Fish.Density","Sampling..No."
"Vitamin_Mineral_Premix","Closing.Biomass","Biomass.Produced.Before.Sampl.","Model.Feed.Qty","Period.Feed.Qty","Opening.Biomass"
"Digestible_Energy","Proteins_Avg","Lipids_Avg","Start.Fish.Density","Sampling..No.","End.Fish.Density"
"Period.Feed.Qty","Model.Feed.Qty","Biomass.Produced.Before.Sampl.","Biomass.Produced","Max.Feed.Qty","Closing.Biomass"
"Model.Feed.Qty","Period.Feed.Qty","Biomass.Produced.Before.Sampl.","Biomass.Produced","Max.Feed.Qty","Closing.Biomass"
"Feed.Deviation....","Model.Mortality.No","Mortality.No","Closing.Fish.No","Opening.Fish.No","Food.Price"
"Opening.Fish.No","Closing.Fish.No","Model.Mortality.No","Biomass.Produced.Before.Sampl.","Biomass.Produced","Closing.Biomass"
"Opening.Biomass","Closing.Biomass","Start.Av..Wt.","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Act..Feed","Model.End.Av..Wt..Sugg..Feed"
"Closing.Fish.No","Opening.Fish.No","Biomass.Produced.Before.Sampl.","Closing.Biomass","Model.Mortality.No","Biomass.Produced"
"Closing.Biomass","Opening.Biomass","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Model.End.Av..Wt..Act..Feed","End.Av.Wt."
"Harvest.Biomass","Harvest..No.","Fastings.No","Av..Wt..Before.Sampl.","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed"
"Transfer....Kg.","Transfer....No.","Start.Fish.Density","Lipids_Avg","Proteins_Avg","Digestible_Energy"
"Transfer....Kg..1","Transfer....No..1","SFR.Period.....Before.Sampl.","Max.Feed.Qty","SFR.Period....","Biomass.Produced"
"Biomass.Produced","Biomass.Produced.Before.Sampl.","Period.Feed.Qty","Model.Feed.Qty","Max.Feed.Qty","Closing.Biomass"
"Biomass.Produced.Before.Sampl.","Biomass.Produced","Period.Feed.Qty","Model.Feed.Qty","Max.Feed.Qty","Closing.Biomass"
"Econ..FCR.Period","Start.Av..Wt.","Model.End.Av..Wt..Act..Feed","Model.End.Av..Wt..Sugg..Feed","Av..Wt..Before.Sampl.","End.Av.Wt."
"Econ.FCR.Period.Before.Sampl.","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Act..Feed","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed","Start.Av..Wt."
"Mortality.No","Model.Mortality.No","Fastings.No","Biomass.Produced","Model.Feed.Qty","Biomass.Produced.Before.Sampl."
"Model.Mortality.No","Biomass.Produced","Biomass.Produced.Before.Sampl.","Mortality.No","Model.Feed.Qty","Period.Feed.Qty"
"Mortality.Deviation....","Closing.Fish.No","Transfer....No..1","Vitamin_Mineral_Premix","Opening.Biomass","Closing.Biomass"
"SFR.Period....","SFR.Period.....Before.Sampl.","SGR.Period....","Food.Price","Closing.Fish.No","Model.Mortality.No"
"SFR.Period.....Before.Sampl.","SFR.Period....","SGR.Period....","Food.Price","Closing.Fish.No","Model.Mortality.No"
"SGR.Period....","SFR.Period....","SFR.Period.....Before.Sampl.","Food.Price","Opening.Fish.No","Model.Mortality.No"
"Max.Feed.Qty","Period.Feed.Qty","Model.Feed.Qty","Biomass.Produced","Biomass.Produced.Before.Sampl.","Closing.Biomass"
"Food.Price","SGR.Period....","SFR.Period....","SFR.Period.....Before.Sampl.","Opening.Fish.No","Closing.Fish.No"
"Fastings.No","Model.End.Av..Wt..Sugg..Feed","End.Av.Wt.","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Act..Feed","Max.Feed.Qty"
"Avg..Temp.","Biomass.Produced.Before.Sampl.","Biomass.Produced","Model.Feed.Qty","Opening.Fish.No","Period.Feed.Qty"
"Avg..Oxygene","Start.Fish.Density","End.Fish.Density","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed"
"Transfer....No.","Transfer....Kg.","Lipids_Avg","Proteins_Avg","Digestible_Energy","Start.Fish.Density"
"Transfer....No..1","Transfer....Kg..1","Biomass.Produced","Avg..Temp.","Av..Wt..Deviation....","Vitamin_Mineral_Premix"
"Harvest..No.","Harvest.Biomass","Fastings.No","Av..Wt..Before.Sampl.","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed"
"Sampling..No.","Start.Fish.Density","End.Fish.Density","Lipids_Avg","Digestible_Energy","Proteins_Avg"
"LTD.Mortality.No","LTD.Mortality..","Model.End.Av..Wt..Sugg..Feed","Model.End.Av..Wt..Act..Feed","End.Av.Wt.","Av..Wt..Before.Sampl."
"LTD.Mortality..","LTD.Mortality.No","Model.End.Av..Wt..Act..Feed","End.Av.Wt.","Model.End.Av..Wt..Sugg..Feed","Av..Wt..Before.Sampl."
"LTD.Econ..FCR","Start.Av..Wt.","Transfer....No..1","Model.End.Av..Wt..Act..Feed","Av..Wt..Before.Sampl.","End.Av.Wt."
"Period.Day.Degrees","Lipids_Avg","Start.Fish.Density","End.Fish.Density","Digestible_Energy","Proteins_Avg"
"GROUPING.PROD..BGT","Start.Fish.Density","End.Fish.Density","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed"
